HousingCA,UnemployCA,OilPrice,MountlySupply(One hundred billion Dollar),Gold Price (hundred Dollar),CAPHCI,CASLIND,S&P Adj Close,Steel&Iron Index
126.59,11.30,99.92,95.135,16.664,158.18,2.03,1253.300049,255.2
126.15,11.00,105.36,95.954,17.390,158.83,2.19,1246.959961,248.9
125.48,11.00,104.26,96.923,16.400,159.32,2.30,1257.599976,252.1
124.67,11.40,106.89,97.246,16.541,159.88,2.25,1312.410034,256.5
124.75,11.30,112.7,97.498,17.448,160.45,2.22,1365.680054,253.8
126.29,11.00,117.79,98.659,16.760,161.02,2.38,1408.469971,253.4
128.37,10.30,113.75,99.113,16.492,161.59,2.22,1397.910034,252.3
130.14,10.20,104.16,98.447,15.890,162.17,2.22,1310.329956,250.5
131.78,10.60,90.73,99.222,15.988,162.92,2.53,1362.160034,239
133.02,10.90,96.75,99.669,15.943,163.45,2.44,1379.319946,232.1
134.33,10.40,105.28,100.296,16.303,164.19,2.48,1406.579956,233.2
136.07,9.60,106.32,101.255,17.448,164.72,2.34,1440.670044,233.7
137.87,9.70,103.39,102.055,17.466,165.30,2.23,1412.160034,224.8
138.97,9.50,101.17,103.031,17.216,165.88,2.31,1416.180054,228.9
139.79,9.60,101.17,104.909,16.848,166.62,2.61,1426.189941,230.3
141.55,10.20,105.04,104.650,16.719,167.15,2.36,1498.109985,228
144.58,9.70,107.66,104.383,16.276,167.74,2.16,1514.680054,226
148.59,9.30,102.61,105.845,15.931,168.34,2.11,1569.189941,228.8
152.74,8.70,98.85,106.131,14.879,168.95,2.35,1597.569946,228.1
156.38,8.60,99.35,105.367,14.140,169.57,2.19,1630.73999,223.3
159.87,9.20,99.74,106.018,13.434,170.18,2.19,1606.280029,222.2
162.87,9.30,105.21,106.428,12.855,170.81,2.16,1685.72998,225.3
164.67,8.90,108.06,107.006,13.517,171.45,2.33,1632.969971,225.2
165.77,8.50,108.78,107.705,13.486,172.28,2.84,1681.550049,223.9
166.27,8.50,105.46,108.948,13.166,172.90,2.36,1756.540039,224.9
166.34,8.30,102.58,109.366,12.759,173.58,2.22,1805.810059,228.9
166.81,8.00,105.49,110.636,12.215,174.26,2.17,1848.359985,232.5
167.97,8.40,102.25,110.604,12.443,174.93,2.31,1782.589966,238
169.85,8.40,104.82,111.119,12.996,175.61,2.20,1859.449951,234.9
172.10,8.30,104.04,112.369,13.361,176.47,2.61,1872.339966,231.3
174.03,7.30,104.94,112.902,12.985,177.10,2.54,1883.949951,234.6
175.36,7.20,105.73,112.334,12.887,177.79,2.41,1923.569946,233.5
176.47,7.40,108.37,112.952,12.791,178.49,2.40,1960.22998,232.6
177.59,7.90,105.22,113.502,13.106,179.21,2.46,1930.670044,232.7
178.12,7.60,100.05,113.814,12.951,179.98,2.60,2003.369995,233
178.11,7.00,95.89,114.319,12.366,180.76,2.76,1972.290039,233.9
178.15,6.90,86.13,114.978,12.225,181.54,2.77,2018.050049,230.5
178.27,7.00,76.96,115.737,11.753,182.32,2.77,2067.560059,226.3
178.70,6.60,60.55,117.189,12.006,183.09,2.58,2058.899902,224
179.53,7.20,47.45,117.252,12.508,183.86,2.64,1994.98999,222.4
181.02,6.90,54.93,118.136,12.271,184.63,2.66,2104.5,209.2
183.62,6.70,52.83,119.227,11.786,185.41,2.66,2067.889893,205.2
186.17,6.20,57.42,119.721,11.989,186.19,2.66,2085.51001,200.9
188.13,6.10,62.5,118.769,11.986,187.19,3.01,2107.389893,198.3
189.63,6.30,61.3,119.314,11.815,187.98,2.93,2063.110107,200.3
190.68,6.50,54.43,119.830,11.283,188.85,2.78,2103.840088,198.2
191.51,6.10,45.72,120.405,11.179,189.49,2.39,1972.180054,193
191.98,5.60,46.29,121.103,11.248,190.33,2.43,1920.030029,190.5
192.32,5.70,46.96,121.455,11.593,190.90,2.17,2079.360107,181.5
192.85,5.70,43.13,122.698,10.864,191.50,1.99,2080.409912,175.2
193.42,5.60,36.56,123.998,10.683,192.47,2.46,2043.939941,172.2
193.92,5.90,29.92,124.539,10.979,193.31,2.77,1940.23999,173.1
195.77,5.80,31.05,124.983,11.995,193.99,2.52,1932.22998,172.7
198.79,5.80,37.34,126.650,12.451,194.74,2.18,2059.73999,175.4
200.97,5.40,40.75,127.452,12.423,195.55,2.36,2065.300049,184.3
202.62,4.90,45.98,126.725,12.610,195.75,1.43,2096.949951,192.9
204.17,5.60,47.69,127.573,12.764,196.31,1.25,2098.860107,193.4
205.29,5.80,44.22,128.207,13.367,196.99,1.84,2173.600098,193.6
205.83,5.60,44.84,129.146,13.402,197.60,1.99,2170.949951,195
205.84,5.20,45.06,129.899,13.266,198.17,1.91,2168.27002,191.2
206.14,5.20,49.29,130.585,12.663,199.10,2.24,2126.149902,186.4
206.84,5.00,45.28,131.669,12.384,199.68,2.15,2198.810059,189.6
207.63,5.00,52.61,132.772,11.574,200.31,1.96,2238.830078,196
,,,,,,,,
