HosingNY,UnemployNY,OilPrice,MountlySupply(One hundred billion Dollar),Gold Price (hundred Dollar),NYPHCI,NYSLIND,S&P Adj Close,Steel&Iron Index
161.59,4.60,109.05,77.935,9.097,140.45,-0.16,1385.589966,250.6
162.56,4.90,122.77,77.322,8.887,140.34,-0.32,1400.380005,270.6
163.49,5.10,131.52,77.543,8.895,140.19,-0.43,1280,284.1
164.03,5.40,132.55,77.694,9.398,140.05,-0.46,1267.380005,293.1
163.29,5.50,114.57,77.665,8.390,139.59,-1.11,1282.829956,294.4
161.69,5.50,99.29,78.452,8.299,139.15,-1.58,1166.359985,274
160.25,5.60,72.69,79.589,8.066,138.41,-2.15,968.75,236
158.79,5.90,54.04,80.491,7.609,137.71,-2.61,896.23999,209.4
156.80,6.50,41.53,82.692,8.161,136.75,-3.22,903.25,195.6
154.46,7.80,43.91,83.132,8.587,135.81,-3.44,825.880005,191.6
152.74,8.30,41.76,83.392,9.430,134.89,-3.34,735.090027,185.4
152.21,8.20,46.95,84.723,9.243,133.90,-3.35,797.869995,179.8
152.59,7.70,50.28,84.670,8.902,133.38,-2.45,872.809998,168.9
153.41,8.00,58.1,84.462,9.287,132.92,-1.14,919.140015,169.2
154.28,8.40,69.13,84.568,9.457,132.50,-0.94,919.320007,171.1
154.91,8.50,64.65,84.216,9.342,132.38,-0.33,987.47998,178.2
155.01,8.50,71.63,83.957,9.494,132.13,0.00,1020.619995,187
154.75,8.60,68.38,84.010,9.966,132.15,0.43,1057.079956,193.7
154.23,8.70,74.08,84.347,10.432,131.93,0.11,1036.189941,196.1
153.54,8.50,77.56,85.086,11.270,132.04,0.42,1095.630005,191.3
152.53,8.80,74.88,85.523,11.347,132.11,0.77,1115.099976,195.7
151.72,9.60,77.12,84.727,11.180,132.50,1.53,1073.869995,205.6
151.71,9.50,74.72,85.172,10.954,132.63,1.38,1104.48999,210.8
152.19,9.10,79.3,85.795,11.133,133.16,1.82,1169.430054,220.6
152.88,8.50,84.14,85.995,11.487,133.42,1.67,1186.689941,232
153.59,8.20,75.54,85.800,12.054,133.93,1.83,1089.410034,235.5
154.33,8.40,74.73,86.014,12.329,134.34,1.75,1030.709961,233.5
154.41,8.60,74.52,85.718,11.930,134.47,1.16,1101.599976,224.8
153.37,8.40,75.88,86.019,12.158,134.62,0.51,1049.329956,221.9
152.16,8.20,76.11,86.432,12.710,134.81,0.65,1141.199951,224.1
151.39,8.20,81.72,86.993,13.420,135.02,0.98,1183.26001,222.7
150.60,8.40,84.53,87.660,13.699,135.53,1.86,1180.550049,222.6
149.79,8.20,90.07,88.489,13.906,135.75,1.81,1257.640015,228.3
149.16,9.00,92.66,88.400,13.605,136.26,1.76,1286.119995,239.8
148.50,8.80,97.73,88.792,13.747,136.69,2.05,1327.219971,248.7
147.93,8.20,108.65,89.921,14.233,137.18,1.98,1325.829956,253.3
147.59,7.80,116.32,90.455,14.809,137.43,1.42,1363.609985,257.5
147.96,7.80,108.18,90.195,15.126,137.76,0.99,1345.199951,256.6
149.17,8.20,105.85,90.798,15.294,137.80,0.50,1320.640015,256.4
150.04,8.40,107.88,92.319,15.728,138.20,0.87,1292.280029,256.9
149.88,8.20,100.45,94.270,17.590,138.31,0.95,1218.890015,256.5
149.05,8.30,100.83,94.638,17.721,138.41,0.70,1131.420044,256.9
147.83,8.20,99.92,95.135,16.664,138.79,1.27,1253.300049,255.2
146.40,8.20,105.36,95.954,17.390,138.89,1.30,1246.959961,248.9
145.08,8.40,104.26,96.923,16.400,139.35,1.57,1257.599976,252.1
144.14,9.20,106.89,97.246,16.541,139.50,1.32,1312.410034,256.5
143.77,9.40,112.7,97.498,17.448,139.91,1.49,1365.680054,253.8
144.05,8.90,117.79,98.659,16.760,140.28,1.71,1408.469971,253.4
144.91,8.20,113.75,99.113,16.492,140.35,1.23,1397.910034,252.3
146.32,8.40,104.16,98.447,15.890,140.62,0.98,1310.329956,250.5
147.93,8.70,90.73,99.222,15.988,141.03,1.49,1362.160034,239
148.75,8.90,96.75,99.669,15.943,141.40,1.55,1379.319946,232.1
148.62,8.50,105.28,100.296,16.303,141.81,1.50,1406.579956,233.2
148.12,8.00,106.32,101.255,17.448,142.25,1.56,1440.670044,233.7
147.58,8.00,103.39,102.055,17.466,142.66,1.75,1412.160034,224.8
147.11,7.80,101.17,103.031,17.216,143.12,1.32,1416.180054,228.9
146.73,8.10,101.17,104.909,16.848,143.36,1.22,1426.189941,230.3
146.66,9.10,105.04,104.650,16.719,143.88,1.41,1498.109985,228
